UMAP1,UMAP2
1.8457814,3.5297067
2.1717038,4.2535357
1.4681048,4.2929635
1.6840577,3.277272
1.7514167,4.405654
1.7028166,3.557271
0.6523547,6.119112
1.4984835,4.595479
2.6186342,3.86192
-1.8549228,5.9332366
1.2920994,5.49907
1.4160777,5.3970494
-1.6874708,6.069047
1.8604031,4.1922016
1.4925002,5.161688
2.2889311,3.4172075
0.11559092,4.452927
-1.8744617,6.147645
2.0285523,3.6283035
2.2513912,3.3197863
2.3383868,3.6906717
1.3988949,4.764921
0.61073893,6.0674257
0.5100042,4.9528155
1.2082956,4.3202596
-0.47320506,4.8605437
1.2919343,4.307691
2.305447,5.4708576
1.2132996,4.4355083
1.9727641,3.3931336
2.3886952,3.80635
3.147519,0.7353657
2.2723083,3.6422722
2.1369808,3.9859867
0.290894,5.131241
-0.68354523,5.531962
2.8956776,4.628085
1.0175041,4.7206855
-1.4216988,5.829548
0.5618344,5.0057716
2.1709237,3.940562
-0.49483383,3.5812223
2.4125898,4.0526686
2.3369021,1.9649034
-1.8227657,6.0228577
2.7381175,3.098784
3.088254,1.0929992
1.8775644,4.0039935
2.065277,4.487432
1.9598813,4.312468
1.062532,3.191557
1.5496972,3.5578446
2.3197527,2.3003654
1.7505789,2.4505522
-0.12112651,5.5373464
0.6880881,4.9960365
1.0973039,5.4005313
1.0468017,4.9170237
1.2348292,4.911343
0.76815957,4.898253
-1.7515597,6.0393386
2.0836513,4.2020197
1.4005063,5.207794
2.4518025,4.14304
2.5036905,4.0396743
2.773663,3.6060307
2.284959,5.0691366
-1.7137376,5.9506474
2.5907114,5.0336323
2.3163624,3.040204
2.7926493,3.750026
1.3926965,5.6597586
1.9441624,3.7095506
2.3926165,4.931478
-1.736244,5.931974
2.835779,3.6291573
2.4441373,4.2742953
-0.31997606,5.9161506
2.9811516,4.416132
2.8218412,4.2055254
2.9016874,4.8283806
2.55655,5.0091457
1.0112,4.7769723
1.3287416,5.1468167
0.8200134,4.945155
1.0124178,4.957314
-0.5777514,5.551476
2.321625,4.84331
2.2461321,3.8848372
-1.0342344,3.9529397
2.8422513,2.733429
2.7193258,4.3926105
2.0444882,3.9823592
2.403948,3.2958355
0.30484292,3.9889917
1.9367108,3.434853
1.2640336,4.3344383
0.33354846,7.143722
0.93635106,5.475745
1.1472071,5.546819
2.3659935,4.0330844
0.6784575,5.230095
0.56018674,6.2481484
2.7920191,2.9445941
3.1399844,0.7713824
1.9172854,5.423423
2.5297756,5.3445187
2.3449175,4.751397
2.7970564,4.0986953
2.4617183,5.428661
1.7785472,4.7902937
2.6632028,4.3869877
2.8340101,4.8452263
2.8181455,4.283267
2.6536446,5.347129
2.6421297,4.138307
2.9107022,3.9379578
-0.15904216,5.8473005
0.46219525,6.245807
1.627897,4.4333386
2.0419621,3.723011
1.6255006,3.5997298
1.3186262,3.783084
1.4011415,4.4632792
1.1676251,4.262978
0.423323,4.4946184
1.5695784,4.435493
0.7255518,5.040184
2.3828285,3.528468
1.8304017,3.5938556
1.9726942,3.5390205
2.0207443,3.6358693
2.2051957,3.4456306
0.6307502,4.9939237
2.8355012,3.1957095
1.2302377,4.859242
-1.5748378,6.0470448
2.3902934,4.5223923
1.8608712,3.546372
3.1772213,4.3089623
2.554488,3.3518534
2.9674387,3.7945912
2.5556169,5.36713
2.820885,2.687519
2.5550032,2.3044264
2.521588,5.4715705
1.8540446,5.700404
2.399255,3.8508842
2.4738128,3.7773087
2.4649467,5.2003064
2.2867427,5.554574
3.1026878,0.7137148
2.5212944,3.3592997
-1.3862342,6.445134
2.5163023,5.4006886
2.6546783,5.1310067
-1.6089118,6.1389008
-1.1139168,6.237607
2.1453726,5.170349
2.9476378,2.9794433
2.5369828,4.2658925
2.8804603,3.1363795
-1.4245408,5.7565885
1.3910505,4.8483124
2.2723172,4.9254975
2.0101013,5.175044
2.282511,3.9406097
2.661692,4.1076875
1.7312685,3.7157435
1.486759,5.2503514
2.7613797,4.8434477
2.0401382,3.7637084
2.0885618,2.9043074
0.92837036,5.266248
1.3240808,4.8829412
0.66822547,6.1154537
2.9792614,3.2983577
1.0106117,4.2438755
0.79634976,5.11947
1.9436654,2.6256623
2.0945504,3.898575
1.935838,3.9376152
1.7956482,3.814188
1.8608503,3.9937198
1.192891,4.781475
0.8629372,5.0042973
1.867999,5.146502
1.0670763,4.132725
-1.0466115,3.9513376
1.564917,5.228136
2.2370572,5.0651984
2.9275894,4.1204014
2.7442205,5.2167573
1.4759276,4.3454046
1.606854,4.4886284
2.0018241,2.812423
1.4610145,4.390376
1.9222071,3.6192067
2.019054,2.9443796
1.3292612,4.511749
2.5248244,3.6481555
1.6924076,4.4765124
0.34558812,7.170233
2.0907648,4.8440175
1.7520878,4.816395
2.3500333,4.558275
1.3489122,3.8482356
2.3181832,2.9825957
1.074748,5.497127
2.3688684,4.3829894
2.0163727,4.1168895
3.177763,1.3126074
-0.1669595,6.2792625
2.6688895,4.3311872
1.6520355,5.62675
1.4159373,6.016759
1.9595742,4.8880105
2.230324,4.1636205
-1.7110379,5.9467316
2.3239372,4.081596
2.3256607,4.3263073
2.027103,4.5316944
1.6285102,4.735695
2.196841,1.903633
0.95340544,5.293851
-1.9774284,5.9147005
-0.7027635,6.007935
2.4465387,3.7386055
-1.5098817,5.898281
1.5283296,5.5186777
0.74483526,5.673589
2.1664248,4.2903314
2.318344,3.9035602
2.520394,3.4270966
1.6791873,3.8201323
2.66495,4.3678875
2.3899617,4.507014
1.9201148,4.4107018
2.2873101,4.380704
2.436743,4.458767
1.3065116,4.303795
2.308413,5.2998576
2.7161613,4.6011114
2.5224965,4.0551176
2.7691553,5.2089195
2.762563,4.0599008
1.6816894,3.2601984
2.3217084,4.229501
2.4536662,4.251943
2.2197864,4.4517603
2.2732003,4.532239
